match_id,year,stage,home_team,away_team,home_score,away_score,home_rank,away_rank,result,home_gdp,home_pop,away_gdp,away_pop
191,1966,Group Stage,North Korea,Italy,1.0,0.0,12.0,1.0,1,10053277894.975687,12337000.0,662465724400.0,52331600.0
192,1966,Group Stage,Soviet Union,Chile,2.0,1.0,12.0,5.0,1,1785145323000.0,233139000.0,68132623176.0,8685954.0
195,1966,Quarterfinals,Soviet Union,Hungary,2.0,1.0,12.0,3.0,1,1785145323000.0,233139000.0,75426858766.0,10184561.0
194,1966,Quarterfinals,West Germany,Uruguay,4.0,0.0,12.0,2.0,1,1140349172772.0,76206173.0,20934245451.0,2721207.0
196,1966,Quarterfinals,Portugal,North Korea,5.0,3.0,12.0,12.0,1,60455105600.0,9108800.0,10053277894.975687,12337000.0
197,1966,Semifinals,West Germany,Soviet Union,2.0,1.0,12.0,12.0,1,1140349172772.0,76206173.0,1785145323000.0,233139000.0
198,1966,Semifinals,England,Portugal,2.0,1.0,12.0,12.0,1,861009751000.0,54643000.0,60455105600.0,9108800.0
199,1966,Third Place Match,Portugal,Soviet Union,2.0,1.0,12.0,12.0,1,60455105600.0,9108800.0,1785145323000.0,233139000.0
185,1966,Group Stage,Portugal,Brazil,3.0,1.0,12.0,7.0,1,60455105600.0,9108800.0,320583731427.0,85557441.0
193,1966,Quarterfinals,England,Argentina,1.0,0.0,12.0,4.0,1,861009751000.0,54643000.0,227834521904.0,22611604.0
200,1966,Final,England,West Germany,4.0,2.0,12.0,12.0,1,861009751000.0,54643000.0,1140349172772.0,76206173.0
184,1966,Group Stage,Portugal,Bulgaria,3.0,0.0,12.0,12.0,1,60455105600.0,9108800.0,54296724775.00001,8258057.000000001
182,1966,Group Stage,Portugal,Hungary,3.0,1.0,12.0,3.0,1,60455105600.0,9108800.0,75426858766.0,10184561.0
183,1966,Group Stage,Hungary,Brazil,3.0,1.0,3.0,7.0,1,75426858766.0,10184561.0,320583731427.0,85557441.0
169,1966,Group Stage,England,Uruguay,0.0,0.0,12.0,2.0,0,861009751000.0,54643000.0,20934245451.0,2721207.0
170,1966,Group Stage,France,Mexico,1.0,1.0,34.0,38.0,0,764514102000.0,50254000.0,276900100400.0,46537832.0
171,1966,Group Stage,Uruguay,France,2.0,1.0,2.0,34.0,1,20934245451.0,2721207.0,764514102000.0,50254000.0
173,1966,Group Stage,Mexico,Uruguay,0.0,0.0,38.0,2.0,0,276900100400.0,46537832.0,20934245451.0,2721207.0
174,1966,Group Stage,England,France,2.0,0.0,12.0,34.0,1,861009751000.0,54643000.0,764514102000.0,50254000.0
172,1966,Group Stage,England,Mexico,2.0,0.0,12.0,38.0,1,861009751000.0,54643000.0,276900100400.0,46537832.0
176,1966,Group Stage,Argentina,Spain,2.0,1.0,4.0,33.0,1,227834521904.0,22611604.0,255489511025.20175,32451975.0
177,1966,Group Stage,Spain,Switzerland,2.0,1.0,33.0,9.0,1,255489511025.20175,32451975.0,121266331032.66225,5996000.0
178,1966,Group Stage,Argentina,West Germany,0.0,0.0,4.0,12.0,0,227834521904.0,22611604.0,1140349172772.0,76206173.0
179,1966,Group Stage,Argentina,Switzerland,2.0,0.0,4.0,9.0,1,227834521904.0,22611604.0,121266331032.66225,5996000.0
180,1966,Group Stage,West Germany,Spain,2.0,1.0,12.0,33.0,1,1140349172772.0,76206173.0,255489511025.20175,32451975.0
181,1966,Group Stage,Brazil,Bulgaria,2.0,0.0,7.0,12.0,1,320583731427.0,85557441.0,54296724775.00001,8258057.000000001
175,1966,Group Stage,West Germany,Switzerland,5.0,0.0,12.0,9.0,1,1140349172772.0,76206173.0,121266331032.66225,5996000.0
223,1970,Group Stage,West Germany,Peru,3.0,1.0,12.0,37.0,1,1343859724428.0,77783164.0,81043370400.0,13192800.0
219,1970,Group Stage,Peru,Bulgaria,3.0,2.0,37.0,12.0,1,81043370400.0,13192800.0,64588678992.0,8489574.0
220,1970,Group Stage,West Germany,Morocco,2.0,1.0,12.0,12.0,1,1343859724428.0,77783164.0,40982292400.0,15909275.0
221,1970,Group Stage,Peru,Morocco,3.0,0.0,37.0,12.0,1,81043370400.0,13192800.0,40982292400.0,15909275.0
222,1970,Group Stage,West Germany,Bulgaria,5.0,2.0,12.0,12.0,1,1343859724428.0,77783164.0,64588678992.0,8489574.0
